species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,group_i,group_j,n_i,n_j,mannwhitney_p,holm_p
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,mesencephalon,65.0,42.0,2.1779245686213373e-07,1.9601321117592035e-06
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,hindbrain / motor,65.0,195.0,5.122026836521945e-12,5.122026836521945e-11
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,state system,65.0,92.0,2.0468441850954053e-06,1.4327909295667836e-05
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,mesencephalon,56.0,42.0,0.00030931896176783307,0.0015465948088391654
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,hindbrain / motor,56.0,195.0,6.370137231268576e-06,3.822082338761145e-05
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,state system,56.0,92.0,0.06986331212918882,0.20958993638756646
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,mesencephalon,hindbrain / motor,42.0,195.0,0.7385907152076987,0.7385907152076987
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,mesencephalon,state system,42.0,92.0,0.14025064024271294,0.2805012804854259
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,hindbrain / motor,state system,195.0,92.0,0.0179075513745579,0.0716302054982316
Zebrafish,FCS,telencephalon,65.0,-1.0960554328283503,-1.1957853388097495,0.7727854514641287,,,,,,,,
Zebrafish,FCS,diencephalon,56.0,0.8861941228214286,0.9310168274369657,0.42051197114848393,,,,,,,,
Zebrafish,FCS,mesencephalon,42.0,-0.6091979133498585,-0.6718961837402325,0.5368482813270906,,,,,,,,
Zebrafish,FCS,hindbrain / motor,195.0,0.2890417454132285,0.5884696094844115,1.0014799028333492,,,,,,,,
Zebrafish,FCS,state system,92.0,-0.0995662580330728,-0.03697161735113695,0.6696413745730633,,,,,,,,
Zebrafish,FCS,__global_kruskal__,450.0,,,,163.9355521179657,2.0929392023923365e-34,,,,,,
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,diencephalon,65.0,56.0,1.0756130742393042e-20,1.0756130742393042e-19
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,mesencephalon,65.0,42.0,0.0009189505642563304,0.0009189505642563304
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,hindbrain / motor,65.0,195.0,1.0298831518643367e-17,9.26894836677903e-17
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,state system,65.0,92.0,1.1776295687537947e-12,7.065777412522768e-12
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,mesencephalon,56.0,42.0,8.207278354585044e-16,5.745094848209531e-15
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,hindbrain / motor,56.0,195.0,0.00016304792043233133,0.00032609584086466266
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,state system,56.0,92.0,4.548516291934751e-16,3.638813033547801e-15
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,mesencephalon,hindbrain / motor,42.0,195.0,1.143249517183787e-08,5.716247585918935e-08
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,mesencephalon,state system,42.0,92.0,1.1791464213559077e-05,3.537439264067723e-05
Zebrafish,FCS,__pairwise_mannwhitney_holm__,,,,,,,hindbrain / motor,state system,195.0,92.0,7.337256919142058e-07,2.9349027676568233e-06
Zebrafish,ProfileCorrDistFCV,telencephalon,65.0,0.870710448752887,0.9498464190084858,0.8831469055120097,,,,,,,,
