species,node,edge_target_dca_mean,n_edge_values,EdgeStdFCV_raw,PostDCA,EdgeStdFCV_zscore,EdgeStdFCV,class_order,class_label,fine_class,postdca_for_plot,postdca_mode,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,AQR,-0.0160562389523927,19,0.3250557021586057,-0.0209444244297973,-0.5066244403314731,-0.5066244403314731,0,sensory input,thermo/gas sensory,-0.0209444244297973,signed_PostDCA,2,other sensory,19.0,-0.016056238952392787
C. elegans,ADAL,-0.0273022558068137,21,0.3248013011434271,-0.0506460303835138,-0.5645734043288303,-0.5645734043288303,2,integrative relay,other interneuron,-0.0506460303835138,signed_PostDCA,4,integrative relay,21.0,-0.0273022558068137
C. elegans,AWAR,0.0173279800160582,13,0.3247676909728038,0.0178208159686248,-0.4659730577520273,-0.4659730577520273,0,sensory input,chemosensory,0.0178208159686248,signed_PostDCA,0,olfactory / chemosensory,13.0,0.01732798001605823
C. elegans,RMDVR,-0.0168665323855539,12,0.3231859047141459,-0.1408615511985975,-0.7670583706691313,-0.7670583706691313,1,sensorimotor output,head motor / command,-0.1408615511985975,signed_PostDCA,3,sensorimotor output,12.0,-0.01686653238555395
C. elegans,RIAR,-0.0570443320566059,25,0.3229675677686889,-0.1128020250203805,-0.9000943161439778,-0.9000943161439778,3,associative / learning,associative interneuron,-0.1128020250203805,signed_PostDCA,5,associative / learning,25.0,-0.05704433205660595
C. elegans,RMDDR,-0.1910564590569724,3,0.3219758324174668,-0.1916640041512533,-0.8017471487953932,-0.8017471487953932,1,sensorimotor output,head motor / command,-0.1916640041512533,signed_PostDCA,3,sensorimotor output,3.0,-0.19105645905697244
C. elegans,AIYL,0.0224436678838991,12,0.3212578520577572,0.0387711934053101,-0.7231062055225451,-0.7231062055225451,3,associative / learning,associative interneuron,0.0387711934053101,signed_PostDCA,5,associative / learning,12.0,0.022443667883899166
C. elegans,IL2DR,0.0109674836151702,12,0.3206479261807062,-0.000330936826991,-0.7618633025286567,-0.7618633025286567,0,sensory input,mechanosensory,-0.000330936826991,signed_PostDCA,2,other sensory,12.0,0.010967483615170207
C. elegans,CEPVR,0.019728997514831,21,0.3201911448629372,0.0209005380391964,-0.5960980289885239,-0.5960980289885239,0,sensory input,mechanosensory,0.0209005380391964,signed_PostDCA,2,other sensory,21.0,0.019728997514831096
C. elegans,URAVR,-0.0081379445836778,13,0.3192043836776416,-0.0013509457379679,-0.976791306592615,-0.976791306592615,1,sensorimotor output,other motor neuron,-0.0013509457379679,signed_PostDCA,3,sensorimotor output,13.0,-0.008137944583677798
C. elegans,AIZL,0.0131274884077913,20,0.318904430404514,0.0204181099660161,-0.8896008985456061,-0.8896008985456061,3,associative / learning,associative interneuron,0.0204181099660161,signed_PostDCA,5,associative / learning,20.0,0.013127488407791335
C. elegans,FLPL,-0.0305797100368861,16,0.3186063030842768,-0.1149491501054033,-0.8686396013499773,-0.8686396013499773,0,sensory input,mechanosensory,-0.1149491501054033,signed_PostDCA,2,other sensory,16.0,-0.030579710036886143
C. elegans,AVJL,-0.0325456826774876,15,0.3174006222405808,-0.0429685802419464,-1.0183124792536458,-1.0183124792536458,2,integrative relay,other interneuron,-0.0429685802419464,signed_PostDCA,4,integrative relay,15.0,-0.03254568267748761
C. elegans,ADEL,-0.0007185744250504,34,0.316120710667399,-0.03157723490657,-0.9594206912803368,-0.9594206912803368,0,sensory input,other sensory neuron,-0.03157723490657,signed_PostDCA,2,other sensory,34.0,-0.0007185744250504786
C. elegans,RICR,-0.0426388898782853,22,0.3160675263919945,-0.125830984124138,-0.9067290125922598,-0.9067290125922598,4,state-dependent / modulatory,state-modulatory interneuron,-0.125830984124138,signed_PostDCA,6,state-dependent / modulatory,22.0,-0.04263888987828533
C. elegans,ADER,0.0039778144613493,25,0.3155816422261802,-0.0379609791744908,-1.2232546837023324,-1.2232546837023324,0,sensory input,other sensory neuron,-0.0379609791744908,signed_PostDCA,2,other sensory,25.0,0.0039778144613493195
C. elegans,CEPDR,0.0127438209642793,21,0.3147093423826473,0.0292962675616043,-1.0336978149852607,-1.0336978149852607,0,sensory input,mechanosensory,0.0292962675616043,signed_PostDCA,2,other sensory,21.0,0.012743820964279314
C. elegans,AVHL,-0.0136727071950585,23,0.3144531813941563,-0.0037987991755094,-1.5393466206490338,-1.5393466206490338,2,integrative relay,other interneuron,-0.0037987991755094,signed_PostDCA,4,integrative relay,23.0,-0.013672707195058564
C. elegans,IL2DL,-0.0005091720838368,13,0.3132455031122126,-0.0110232982195794,-1.0430143798119822,-1.0430143798119822,0,sensory input,mechanosensory,-0.0110232982195794,signed_PostDCA,2,other sensory,13.0,-0.0005091720838368647
